dc.title[pt_BR],dc.contributor.author[pt_BR],dc.date.submitted,dc.description.unidade[pt_BR],dc.identifier.uri,dc.identifier.doi[pt_BR],dc.rights[en],dc.rights[pt_BR],dc.subject.keyword,dc.type[pt_BR]
Protocolo de autenticação contínua multimodal com uso de eletrocardiografia para ambientes de computação móvel em nuvem.,"Albuquerque, Silas Leite",2020-03-06,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/38823,,,Acesso Aberto,Segurança da informação||Computação móvel em nuvem||Autenticação||Biometria,Tese
Protocolo de comprometimento com segurança incondicional baseado no canal com ruído de reordenamento de pacotes,"Alves, Vinícius de Morais",2021-12-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/43286,,,Acesso Aberto,Criptografia||Segurança incondicional||Protocolo de comprometimento||Reordenamento de pacotes,Tese
Protocolo de comprometimento de BIT eficiente com segurança sequencial baseado no modelo de memória limitada,"Alves, Vinícius de Morais",2010-02-22,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8331,,Acesso Aberto,,Redes de computação - medidas de segurança||Criptografia de dados (Computação)||Redes de computação - protocolos||Computação - matemática,Dissertação
Protocolo de comunicação para uma rede de sensores sem fio : teoria e implementação em SoC,"Ishihara, Gustavo Luchine",2006-12-15,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6686,,Acesso Aberto,,Redes de computação - protocolos,Dissertação
Protocolo MAC efi ciente em energia e livre de colisões para redes de sensores sem fio,"Guimarães, Vinícius Galvão",2014-08-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/17121,,Acesso Aberto,,Eficiência energética||Protocolo MAC||Redes sensoriais||Redes sem fio,Dissertação
Protocolos com segurança demonstrável baseados em primitivas criptográficas de chave pública,"Dowsley, Rafael Baião",2010-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6004,,Acesso Aberto,,Criptografia de dados (Computação)||Redes de computação - protocolos||Segurança de dados,Dissertação
Protocolos criptográficos de computação distribuída com segurança universalmente composta,"Pinto, Adriana Cristina Bastos",2012-08-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/13034,,Acesso Aberto,,Criptografia de dados (Computação)||Computadores - medidas de segurança||Processamento eletrônico de dados - processamento distribuído||Redes de computação - protocolos,Dissertação
QC-MDPC McEliece : uma implementação otimizada de uma nova variante Mceliece,"Martins, Homero de Oliveira",2014-07-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/17327,,Acesso Aberto,,Criptografia||Algoritmos||Teoria da codificação,Dissertação
Qualidade de serviço e de experiência na distribuição de vídeo escalável em redes par-a-par (P2P),"Galvis, Valmiro José Rangel",2013-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/15443,,Acesso Aberto,,Engenharia elétrica||Redes elétricas,Dissertação
Radiodifusão local na faixa de 26 MHz usando DRM : resultados de testes em Brasília,"Neves, Rafael Granja",2007-03-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2950,,Acesso Aberto,,Telecomunicações||Radiodifusão,Dissertação
Rastreamento e identificação de movimentos de cabeça para sistema de comunicação alternativa,"Gonçalves, Carlos Wellington Passos",2014-07-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/17162,,Acesso Aberto,,Rastreamento de imagens||Visão computacional||Cadeias de Markov,Dissertação
Rastreamento visual de objetos utilizando métodos de similaridade de regiões e filtagem estocásticaRastreamento visual de objetos utilizando métodos de similaridade de regiões e filtagem estocástica,"Vidal, Flávio de Barros",2009,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4211,,Acesso Aberto,,Processamento de imagens - técnicas digitais||Visão por computador||Engenharia elétrica,Tese
Realistic modeling of power lines for transient electromagnetic interference studies,"Britto, Amauri Gutierrez Martins",2020-07-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/39434,,,Acesso Aberto,Aterramento elétrico||Interferência eletromagnética||Energia elétrica - transmissão||Linhas de transmissão||Parâmetros de linha||Resistividade do solo||Tubulações,Tese
Rebaixamento dinâmico em reservatórios de usinas hidrelétricas : estudo de caso aplicado à bacia do rio Iguaçu,"Mori, Carla Ramos Rodrigues",2016-06-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/21396,http://dx.doi.org/10.26512/2016.06.D.21396,Acesso Aberto,,Vazão de água||Bacia do rio Iguaçu||Usinas hidrelétricas - Brasil||Reservatórios - hidrelétrica,Dissertação
Recomendação  ITU-R P.1812-7 : uma proposta de mapeamento de obstruções,"Aguiar, Douglas Rafael de Castro",2024-12-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/51750,,,Acesso Aberto,Telecomunicações - planejamento||Propagação de sinais||Mapeamento de Clutter,Dissertação
Reconfigurabilidade em um sistema de comunicação móvel baseado na arquitetura de um rádio definido por software,"Lima, André Gustavo Monteiro",2006-03-17,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5747,http://dx.doi.org/10.26512/2006.03.T.5747,Acesso Aberto,,Sistemas de comunicação móvel||Arquitetura de computador||Software - avaliação||Redes de computação||Engenharia elétrica,Tese
Reconfigurable metasurface antenna array using holographic beamforming,"Santana, Matheus Pereira",2021-03-12,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/41405,,,Acesso Aberto,Arranjo de antenas||Antenas (Eletrônica)||Formador de feixe holográfico||Otimização convexa,Dissertação
Reconfiguração dinâmica de agentes móveis IPv4 em redes sem fio Ad Hoc,"Amvame-Nze, Georges Daniel",2006-09-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6895,,Acesso Aberto,,Redes de computação - protocolos,Tese
Reconhecimento de nomes de pessoas e organizações em textos forenses usando uma variação do Modelo Oculto de Markov,"Dalben Júnior, Osvaldo",2011-12-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11234,,Acesso Aberto,,Informática forense||Reconhecimento de Entidades Mencionadas (REM)||Modelo Oculto de Markov (HMM),Dissertação
Reconstrução de campos eletromagnéticos utilizando regularização de Tikhonov-Phillips e inteligência artificial,"Azevedo, Helton Alves de",2023-11-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/48380,,,Acesso Aberto,Aprendizagem de máquina||Amostragem eletromagnética||Modos esféricos,Dissertação
Reconstrução de imagens de ressonância magnética acelerada por placas de processamento gráfico,"Dantas, Thales Henrique",2014-06-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/20195,,Acesso Aberto,,Fourier velocity encoding (FVE)||Processamento gráfico||Ressonância magnética||Imagem corporal||Doenças valvulares -  diagnóstico,Dissertação
Reconstrução de imagens utilizando aprendizado profundo e técnicas de compressive sensing,"Thomaz, Aline Alves Soares",2022-09-23,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/45401,,,Acesso Aberto,Telecomunicações||Ressonância magnética||Aprendizado profundo||Compressive sensing||Esparsidade,Dissertação
Recuperação de conversas de mensagens instantâneas realizadas em navegadores de internet,"Salvatori, Ronei Maia",2012-02-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11752,,Acesso Aberto,,Recuperação de dados (Computação)||Computação forense,Dissertação
Recuperação de fase usando diversidade de polarização e de portadora para sistemas multiportadora DP-16-QAM,"Souto, Diego Vieira",2012-12-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/13685,,Acesso Aberto,,Comunicações óticas||Engenharia elétrica,Dissertação
Recuperação de quadros de arquivos de vídeo h.264/avc corrompidos,"Farnese, Rafael",2012-02-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11231,,Acesso Aberto,,Fotografias - conservação e restauração||Recuperação de imagem||Vídeo - conservação e restauração||Gravações de vídeo - recuperação||Prova (Direito),Dissertação
Rede convergente IP com tecnologia WDM e SDH utilizando cabos OPGW em linhas de transmissão de energia,"Silva, Rosemberg Lobato",2010-07-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/7088,,Acesso Aberto,,Energia elétrica - transmissão||Sistemas de telecomunicações,Dissertação
Redes neurais artificiais aplicadas ao problema da localização em ambientes fechados,"Loiola, Roberto Rodrigues",2009-12-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8332,,Acesso Aberto,,Engenharia elétrica||Redes neurais (Computação),Dissertação
Redes ópticas de longa distância com transceptores de taxa de código variável,"Lima, Tiago Carneiro de",2015-01-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/19280,http://dx.doi.org/10.26512/2015.01.D.19280,Acesso Aberto,,Redes ópticas de transmissão||Redes WDM||Canal óptico,Dissertação
Redução de complexidade na compressão de vídeo de alta resolução,"Fonseca, Tiago Alves da",2008-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6698,,Acesso Aberto,,Processamento de imagens||Engenharia elétrica||Compactação de vídeo,Dissertação
Redução de dimensões pelo uso de transformações lineares em sistemas MIMO massivo distribuídos com fronthaul limitado,"Cerqueira, Ricardo de Souza",2016-10-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22841,http://dx.doi.org/10.26512/2016.10.D.22841,Acesso Aberto,,Transformadas lineares||Sistemas de comunicação||Rede sem fio,Dissertação
Redução de ordem de modelos parametrizados com aplicações à análise de estabilidade eletromecânica a pequenos sinais em sistemas de potência,"Acle, Yussef Guardia Ismael",2019-11-18,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/38052,,,Acesso Aberto,Redução de ordem paramétrica||Truncamento balanceado||Alternating Direction Implicit (ADI),Tese
Redução de ordem paramétrica de modelos aplicada à análise de estabilidade eletromecânica a pequenos sinais em sistemas de potência,"Ismael Acle, Yussef Guardia",2017-07-06,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/24577,http://dx.doi.org/10.26512/2017.07.D.24577,,Acesso Aberto,Matriz elétrica||Estabilidade eletromecânica||Sistemas de potência,Dissertação
Reformulação do modelo de propagação eletromagnética de Ikegami para aplicabilidade em cenários modernos para frequências até 6 GhzReformulação do modelo de propagação eletromagnética de Ikegami para aplicabilidade em cenários modernos para frequências até 6 Ghz,"Wanderley, Paulo Henrique Sales",2011-12-06,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10200,,Acesso Aberto,,Eletromagnetismo||Antenas (Eletrônica),Tese
Regulação da qualidade de energia elétrica sob o foco do consumidor,"Jannuzzi, Antonio Cezar",2007-04-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2712,,Acesso Aberto,,Energia elétrica - controle de qualidade||Energia elétrica - consumidor,Dissertação
Regulação por incentivo à qualidade : comparação de eficiência entre distribuidoras de energia elétrica no Brasil,"Pinheiro, Thelma Maria Melo",2012-09-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/12795,,Acesso Aberto,,Energia elétrica - distribuição||Energia elétrica - qualidade - Brasil,Dissertação
Representação de ambientes urbanos para o cálculo da perda de propagação nas faixas de 1 mhz e 900 mhzRepresentação de ambientes urbanos para o cálculo da perda de propagação nas faixas de 1 mhz e 900 mhz,"Fernandes, Leandro Carísio",2012-10-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/12007,,Acesso Aberto,,Propagação de ondas eletromagnéticas||Eletromagnetismo||Métodos numéricos||FDTD (Finite-difference time-domain),Tese
Requisitos de configuração de rede IP para transporte de interfaces 3GPP,"Guimarães, David Pfannemüller",2010-09-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8321,,Acesso Aberto,,Redes de sinalização||Redes de computação - protocolos,Dissertação
Resposta de sistemas ininterruptos de energia frente a fenômenos de qualidade da energia,"Gonçalves, Fabrício Douglas",2008-10-01,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2619,,Acesso Aberto,,Energia elétrica||Eletrônica de potência||Energia elétrica - transmissão,Dissertação
Restarted holomorphic embedding power flow method,"Santos Junior, Aluisio Cesar dos",2018-03-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/33163,,,Acesso Aberto,Fluxo de carga||Sistemas elétricos||Sistemas de potência,Dissertação
RF planar switch at Ku band for mobile satellite communications,"Nascimento, Vinícius Lisboa do",2022-06-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/44775,,,Acesso Aberto,Chaveador RF||Direcionamento de feixe||Banda Ku||Comunicação via satélite,Dissertação
RIMP :   protocolo de controle de acesso ao meio com múltipla recepção de pacotes para redes ad hoc,"Bonfim, Tiago da Silva",2013-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/13778,,Acesso Aberto,,Redes de computação - protocolos||Arquitetura de redes de computadores||IEEE 802.11 (Normas),Dissertação
Robot-assisted steering of flexible needles for percutaneous procedures =   Guidage robotisé des aiguilles flexibles pour des procédures percutanées = Guiagem robotizada de agulhas flexíveis para procedimentos percutâneosRobot-assisted steering of flexible needles for percutaneous procedures =   Guidage robotisé des aiguilles flexibles pour des procédures percutanées = Guiagem robotizada de agulhas flexíveis para procedimentos percutâneos,"Bernardes, Mariana Costa",2012-12-19,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/14104,,Acesso Aberto,,Robótica||Engenharia elétrica,Tese
Roteador nanoeletrônico para redes-em-chip baseado em transistores monoelétron,"Fé, Beatriz Oliveira Câmara da",2017-03-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/23599,http://dx.doi.org/10.26512/2017.03.D.23599,,Acesso Aberto,Nanoeletrônica||Sistemas em chip||Desenvolvimento de sistemas||Arquitetura digital||Redes-em-chip,Dissertação
Safe-record : segurança e privacidade para registros eletrônicos em saúde na nuvem,"Souza, Stefano Mozart Pontes Canedo de",2016-07-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/21542,http://dx.doi.org/10.26512/2016.07.D.21542,Acesso Aberto,,Computação em nuvem||Criptografia de dados (Computação)||Registros eletrônicos||Segurança de dados,Dissertação
Saliency-driven dynamic point cloud coding using projections onto images,"Figueiredo, Victor Fabre",2021-06-25,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/42027,,,Acesso Aberto,Nuvem de pontos||Mapa de saliência||Região de interesse,Dissertação
SDN – DMM : redes definidas por software para gerenciamento de mobilidade distribuído em redes IP móveis heterogêneas,"Córdova, Rodrygo Torres",2016-12-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/23271,http://dx.doi.org/10.26512/2016.12.D.23271,Acesso Aberto,,Arquitetura de rede||Redes de telecomunicações||Redes heterogêneas||Arquitetura de software,Dissertação
Secure and efficient authentication protocols for the internet of drones environment,"Sousa, Manuela de Jesus",2025-04-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/53043,,,Acesso Aberto,Internet of Drones (IoD)||Autenticação digital||Segurança||Veículo aéreo não tripulado,Dissertação
Secure communication based on hyperchaotic underactuated projective synchronization,"Gularte, Kevin Herman Muraro||Alves, Lucas Martins||Vargas, José Alfredo Ruiz||Alfaro, Sadek Crisóstomo Absi||Carvalho, Guilherme Caribe de||Romero, Jesus Franklin Andrade",,Faculdade de Tecnologia (FT)||Departamento de Engenharia Mecânica (FT ENM)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/51040,10.1109/ACCESS.2021.3134829,,Acesso Aberto,Criptografia||Teoria de Lyapunov||Sistemas caóticos,Artigo
Segmentação do ventrículo esquerdo em imagens ecocardiograficas,"Amorim, Junier Caminha",2008-12,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1785,,Acesso Aberto,,Algoritmos||Engenharia de software||Diagnóstico por imagem||Ecocardiografia,Dissertação
Segmentação do ventrículo esquerdo utilizando técnicas de processamento de imagens,"Lacerda, Saulo Guerreiro",2008,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1832,,Acesso Aberto,,Processamento de imagens||Medicina||Ecorcadiografia,Dissertação
Segurança da informação para o sistema de medição de faturamento no setor elétrico,"Miranda Júnior, Wilson",2008-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3608,,Acesso Aberto,,Sistemas de recuperação da informação - segurança||Setor elétrico - Brasil,Dissertação
Seleção de redes sem fio baseada em técnicas de apoio à decisão,"Rios, Vinícius de Miranda",2012-02-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10734,,Acesso Aberto,,Recursos de redes de computadores||Redes de computação - tomada de decisões||Engenharia de computador,Dissertação
Sensoriamento de espectro contínuo baseado em cancelamento de fontes,"Lopes, Victor Hugo Lázaro",2015-08-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/19529,http://dx.doi.org/10.26512/2015.08.D.19529,Acesso Aberto,,Rádio cognitivo||Sensoriamento espectral||Espectro eletromagnético,Dissertação
Sensoriamento de espectro em sistema de rádio cognitivo com desvanecimento composto,"Silva, Wanessa de Alvarenga",2015-08-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/19504,http://dx.doi.org/10.26512/2015.08.D.19504,Acesso Aberto,,Modelo de desvanecimento||Sensoriamento espectral||Rádio cognitivo,Dissertação
Sensoriamento de espectro para redes de rádios cognitivos em canais sem fio sob desvane imentos generalizados,"Chaves, Diogo Sanders Starling",2014-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/16925,,Acesso Aberto,,Sensoriamento espectral||Rádio cognitivo||Sistemas de telecomunicações||Interconexão em rede (Telecomunicações)||Sistemas de comunicação sem fio,Dissertação
Sensoriamento do espectro em sistema tetra por meio de análise tempo-frequência,"Wellisch, Wilson Diniz",2012-10-19,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/12031,,Acesso Aberto,,Rádio cognitivo||Sensoriamento espectral||Espectrograma||Análise tempo-frequência,Dissertação
Sensoriamento espectral paralelo à transmissão em redes de rádio cognitivo,"Bizerra, Renato Sales",2012-10-04,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/12980,,Acesso Aberto,,Rádio||Sensoriamento remoto,Dissertação
Sensoriamento espectral por detecção de energia com duplo limiar sob canais em desvanecimento  k-μ em redes de rádio cognitivo,"Ribas, Annita de Oliveira Petrochi",2015-12-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/19416,http://dx.doi.org/10.26512/2015.12.D.19416,Acesso Aberto,,Sensoriamento espectral||Rede de rádios cognitivos||Comunicações móveis||Rádiofrequência,Dissertação
Serviço de segurança baseado em IoT para a cadeia de custódia digital,"Silva, Daniel Alves da",2021-07-14,Faculdade de Tecnologia (FT)||Departamento de Engenharia Florestal (FT EFL),http://repositorio.unb.br/handle/10482/49051,,,Acesso Aberto,Digitalização de documentos e processos||Cadeia de custódia documental||Confiança computacional||Segurança cibernética||Segurança de privacidade||Internet das Coisas (IoT),Tese
Simulações computacionais do escoamento cardiovascular guiadas por ressonância magnéticaSimulações computacionais do escoamento cardiovascular guiadas por ressonância magnética,"Rispoli, Vinícius de Carvalho",2014-12-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/18045,http://dx.doi.org/10.26512/2014.12.T.18045,Acesso Aberto,,Ressonância magnética||Sistema cardiovascular - doenças||Sangue - distúrbios de circulação||Dinâmica dos fluidos - programas de computador||Processamento de imagens,Tese
Sistema automatizado de identificação de impressões digitais peer-to-peer (P2P),"Santos, Clayton Guimarães Cova dos",2016-12-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22964,http://dx.doi.org/10.26512/2016.12.D.22964,Acesso Aberto,,Biometria||Impressão digital||Bases de dados||Processamento eletrônico de dados,Dissertação
Sistema baseado em vídeo para detecção de sonolência em motoristas,"Queiroz, Kédson Lopes de",2011-09-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10704,,Acesso Aberto,,Computação - motoristas - fadiga||Sono,Dissertação
Sistema de apontamento de antena para estação de comunicação com satélites,"Souza, André Luiz Gama de",2013-04-22,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/13847,,Acesso Aberto,,Satélites artificiais||Antenas (Eletrônica)||Comunicação,Dissertação
Sistema de detecção de intrusão por anomalia no comportamento para redes AD-HOC,"Silveira, Fábio Miziara",2007-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2672,,Acesso Aberto,,Redes de computação||Redes de computação - protocolos||Engenharia elétrica,Dissertação
Sistema de medição e análise de qualidade de redes celulares,"Carazza, Vitor de Aguiar",2018-07-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/33906,,,Acesso Aberto,Rede móvel||Telefonia celular||Telecomunicações - Brasil||Sistemas de comunicação sem fio||Sistemas de comunicação móvel,Dissertação
Sistema de treinamento de instruções de operações internas e operação de sistemas elétricos baseado em um ambiente virtual de aprendizagem,"Almeida, Vinícius Cristiano de",2011-11-18,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11384,,Acesso Aberto,,Treinamento||Ambientes virtuais de aprendizagem||Ensino a distância,Dissertação
Sistema híbrido de climatização visando conforto térmico e eficiência energética,"Flores, José Luis Olmos",2009-09-06,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8238,,Acesso Aberto,,Engenharia elétrica - arquitetura e clima||Energia elétrica - consumo - ar condicionado||Produtividade - controle de custo,Dissertação
Um sistema imuno-inspirado de recomendação de disciplinas para cursos superiores,"Braz, Júlia Cabral Diniz",2022-06-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/44971,,,Acesso Aberto,Sistemas de recomendação||Algoritmos bioinspirados||Sistemas imunológicos artificiais,Dissertação
Sistema indutor de neoformação tecidual para pé diabético com circuito emissor de luz de LEDs e utilização do látex naturalSistema indutor de neoformação tecidual para pé diabético com circuito emissor de luz de LEDs e utilização do látex natural,"Reis, Maria do Carmo dos",2013-12-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/15212,,Acesso Aberto,,Pé diabético||Látex||Fotoperapia||Palmilha,Tese
Sistema operacional em tempo real de SoC reconfigurável para rastreio,"Schlag, Fabricio",2007-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3307,,Acesso Aberto,,Engenharia de software||Sistema operacional,Dissertação
Sistema para aquisição e análise de dados provenientes de medições de parâmetros de redes celulares,"Santos, Jorge Guilherme Silva dos",2019-02-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/35375,,,Acesso Aberto,Redes sem fio||Telecomunicações||Redes celulares,Dissertação
Sistema para automação de testes no relé SEL-T400L,"Honorato, Tiago da Rocha",2020-07-06,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/39478,,,Acesso Aberto,SEL-T400L||Linguagem de programação (Computadores)||Energia elétrica - equipamentos de proteção||Automação - testes||Energia elétrica - transmissão,Dissertação
Sistema visual de segmentação de objetos robusto à iluminação para monitoramento automático de tráfego de veículos terrestres,"Ruas, Gabriel Irribarem Soares",2009-07-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6203,,Acesso Aberto,,Engenharia de transportes||Iluminação elétrica - rodovias||Trânsito urbano||Visão por computador,Dissertação
SIT e CLIT : ferramentas e metodologia para aprimoramento de investigações criminais utilizando  interceptações de conexão à internet,"Peron, André",2012-02-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10471,,Acesso Aberto,,Inquérito policial - Internet||Computadores - medidas de segurança,Dissertação
Síntese de antenas otimizadas para TV digital,"Tomé, Paulo Victor Barreto",2020-12-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40897,,,Acesso Aberto,Antenas (Eletrônica)||Otimização angular||Televisão digital||Maximização de ganho||Banda de frequência estendida,Dissertação
Síntese de antenas para controle de campos e polarizaçõesSíntese de antenas para controle de campos e polarizações,"Pereira, Leandro de Paula Santos",2015-03-06,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/18442,,Acesso Aberto,,Antenas (Eletrônica)||Campos elétricos||Transmissão da informação||Sinal digital,Tese
