dc.title[pt_BR],dc.contributor.author[pt_BR],dc.date.submitted,dc.description.unidade[pt_BR],dc.identifier.uri,dc.identifier.doi[pt_BR],dc.rights[en],dc.rights[pt_BR],dc.subject.keyword,dc.type[pt_BR]
Análise de desempenho de topologias de redes em chip (NoC),"Amaral, Dino Macedo",2008-02-22,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1992,,Acesso Aberto,,Circuitos eletrônicos||Microeletrônica||Roteadores (rede de computadores)||Análise de redes (Planejamento),Dissertação
Análise de equivalência de transitórios eletromagnéticos obtidos no domínio do tempo e da frequência,"Carramaschi, Isa Helena Castro",2010-02-24,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8267,,Acesso Aberto,,Transitórios (Dinâmica) - eletromagnetismo,Dissertação
Análise de estabilidade transitória na otimização de sistemas elétricos de potência,"Silva, Roberval Madeira da",2009-12-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22295,,Acesso Aberto,,Energia elétrica - transmissão||Sistemas elétricos,Dissertação
Análise de fenômenos ionosféricos no planejamento de enlaces de comunicação em missões espaciais,"Reis, Leandro Ribeiro",2021-06-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/45648,,,Acesso Aberto,Análise de missão espacial||Cintilação ionosférica||Banda UHF||Clima espacial,Dissertação
Análise de impacto regulatório da implantação de redes inteligentes no BrasilAnálise de impacto regulatório da implantação de redes inteligentes no Brasil,"Lamin, Hugo",2013-07-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/13962,,Acesso Aberto,,Sistemas de energia elétrica||Energia elétrica - distribuição,Tese
Análise de logs de interação em ambiente educacional corporativo via mineração de dados educacionais,"Coelho, Vinícius Coutinho Guimarães",2016-06-26,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/24542,http://dx.doi.org/10.26512/2016.06.D.24542,,Acesso Aberto,Mineração de dados (Computação)||Instituições de ensino superior||Ensino a distância - ambiente de trabalho||Tecnologia educacional||Ambientes virtuais de aprendizagem,Dissertação
Análise de objetos a partir da extração da memória RAM de sistemas sobre Android Run-Time (ART),"Soares, Alberto Magno Muniz",2016-12-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22784,http://dx.doi.org/10.26512/2016.12.D.22784,Acesso Aberto,,Computação forense||Android (Programa de computador)||Ferramenta tecnológica||Memória RAM,Dissertação
Análise de parametrizações de qualidade de serviço em uma rede metropolitana para tráfego VOIP,"Bon, Carlos Henrique Bacellar",2008-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1716,,Acesso Aberto,,Engenharia de tráfego||Interconexão em rede (Telecomunicações)||Redes metropolitanas de computação,Dissertação
Análise de propagação em vegetação utilizando Bayes e UT,"Loureiro, Alexandre José Figueiredo",2018-09-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34077,,,Acesso Aberto,Propagação de ondas de rádio||Ondas de rádio||Teorema de Bayes||Incerteza,Tese
Análise de quantização para codificação de redes neurais sem retreino,"Tonin, Marcos Vinicius Prescendo",2021-09-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/42501,,,Acesso Aberto,Quantização||compressão de redes neurais||Open Neural Network eXchange (ONNX)||Recursos limitados,Dissertação
