dc.title[pt_BR],dc.identifier.uri,dc.date.issued[pt]
Efeito alelopático de folhas e frutos de Solanum lycocarpum A. St.-Hil. (Solanaceae) na germinação e crescimento de Sesamun indicum L. (Pedaliaceae) em solo sob três temperaturas||Allelopathic effect of leaves and fruits of Solanum lycocarpum A. St.-Hil. (Solanaceae) on the germination and growth of Sesamum indicum L. (Pedaliaceae) in soil under three temperatures,http://repositorio.unb.br/handle/10482/26410,2005
Desafios teóricos da psicologia macrocultural: entrevista com Carl Ratner,http://repositorio.unb.br/handle/10482/29316,2014
Efficiency of five biosolids to supply nitrogen and phosphorus to ryegrass||Eficiência de cinco biossólidos em suprir nitrogênio e fósforo para azevém,http://repositorio.unb.br/handle/10482/26162,2004
Estimating sex and age from a face :  a forensic approach usingmachine learning based on photo-anthropome tric indexesof the Brazilian population,https://repositorio.unb.br/handle/10482/39416,2020-08-21
Activity of scorpion venom-derived antifungal peptides against planktonic cells of Candida spp. and Cryptococcus neoformans and Candida albicans Biofilms,http://repositorio.unb.br/handle/10482/24748,2016-11-18
Does probiotic consumption enhance wound healing? a systematic review,https://repositorio.unb.br/handle/10482/42877,2022
Usos e abusos da antropologia em um contexto de tensão racial : o caso das cotas para negros na UnB,http://repositorio.unb.br/handle/10482/26485,2005-06
Possible involvement of proteasome activity in ethyleneinduced germination of dormant sunflower embryos,http://repositorio.unb.br/handle/10482/15543,2012-05
Psychometric properties of the Personality Inventory for DSM-5 (PID-5) in Brazilian samples,http://repositorio2.unb.br/jspui/handle/10482/48704,2021
"Memória, catástrofe e narrativas da dor : Primo Levi, Riobaldo e os fantasmas na experiência do trauma",https://repositorio.unb.br/handle/10482/36648,2019
Increased prevalence of unstable HLA-C variants in HIV-1 rapid-progressor patients,http://repositorio.unb.br/handle/10482/51722,2022-11-27
"Importância de diferentes microhabitats no comportamento de forrageio por presas do mico-leão-preto, Leontopithecus chrysopygus (Mikan)  (Mammalia, Callitrichidae)",http://repositorio.unb.br/handle/10482/10284,2001
"Partial sequence and toxic effects of granulitoxin, a neurotoxic peptide from the sea anemone Bunodosoma granulifera",http://repositorio.unb.br/handle/10482/25456,1998
O feminino como metáfora do sujeito na psicanálise,http://repositorio.unb.br/handle/10482/19695,2011
"Relação entre atributos físicos e químicos dos solos e a produtividade de capim dourado na região do Jalapão, TO",http://repositorio.unb.br/handle/10482/29549,2015-07
Representação política : a virada construtivista e o paradoxo entre criação e autonomia,http://repositorio.unb.br/handle/10482/33408,2018
Candida albicans isoladas da cavidade bucal de crianças com síndrome de Down: ocorrência e inibição do crescimento por Streptomyces sp||Candida albicans isolated from buccal cavity of children with Down's syndrome: occurrence and growth inhibition by Streptomyces sp,http://repositorio.unb.br/handle/10482/26333,2005
"Profissional da informação : imagem, perfil e a necessidade da educação continuada",http://repositorio.unb.br/handle/10482/12991,2009-08
The effect of intermittent cryotherapy on the activities of citrate synthase and lactate dehydrogenase in regenerating skeletal muscle,http://repositorio.unb.br/handle/10482/23570,2013-01
Programa de aquisição de alimentos : a lente bioética na segurança alimentar,http://repositorio.unb.br/handle/10482/29062,2013
Investimentos em tecnologia da informação e impactos na produtividade empresarial : uma análise empírica à luz do paradoxo da produtividade,http://repositorio.unb.br/handle/10482/5938,2009
Multiple LEDT wavelengths modulate the Akt signaling pathways and attenuate pathological events in mdx dystrophic muscle cells,https://repositorio.unb.br/handle/10482/43511,2022-04-05
As abordagens policiais e o Caso Miranda v. Arizona (1966) : violência institucional e o papel das cortes constitucionais na garantia da assistência do defensor na fase policial,https://repositorio.unb.br/handle/10482/41540,2018
Purification and characterization of a new Xylanase from Humicola grisea var. Thermoidea,http://repositorio.unb.br/handle/10482/26298,2004
Comunicação científica e gestão do conhecimento : enlaces conceituais para a fundamentação da gestão do conhecimento científico no contexto de universidades,http://repositorio.unb.br/handle/10482/625http://repositorio.unb.br/handle/10482/625,2007
Efeito do isolamento de árvores de Sterculia apetala sobre a emergência de plântulas no Pantanal,http://repositorio.unb.br/handle/10482/15851,2013
D-loop haplotype diversity in brazilian horse breeds,http://repositorio.unb.br/handle/10482/30802,2017-09
Numerical simulation of turbulent flow in an eccentric channel,https://repositorio.unb.br/handle/10482/39514,2020-10
"Personal characteristics of coffee consumers and non-consumers, reasons and preferences for foods eaten with coffee among adults from the Federal District, Brazil",http://repositorio.unb.br/handle/10482/30085,2016-07
"Deforestation dynamics in the Nova Bonal sustainable development project, Acre, Brazil",https://repositorio.unb.br/handle/10482/36657,2019
Processamento fonológico em indivíduos com transtorno de Déficit de Atenção e Hiperatividade,http://repositorio.unb.br/handle/10482/29376,2014
Aspectos microbiológicos e físico-químicos de morango exposto ao gás ozônio em diferentes concentrações durante o armazenamento,https://repositorio.unb.br/handle/10482/36603,2019
Vulnerability of Brazilian municipalities to hantavirus infections based on multi‑criteria decision analysis,http://repositorio.unb.br/handle/10482/23931,2015-10-01
"Fenologia da copaíba (Copaifera langsdorffii Desf. -- Leguminosae, Caesalpinioideae) em uma floresta semidecídua no sudeste do Brasil||Phenology of copaíba (Copaifera langsdorffii Desf. -- Leguminosae, Caesalpinioideae) in a semideciduous forest, southeastern Brazil",http://repositorio.unb.br/handle/10482/25870,2002
Redescription of ‘Chasmocranus’ brachynema (Heptapteridae: Heptapterini),http://repositorio.unb.br/handle/10482/50281,2024
Mucormicose órbito-rino-cerebral associada à cetoacidose diabética : registro de dois casos,http://repositorio.unb.br/handle/10482/25071,1985-10
